,filepaths,labels
235,train\Blue Tarantula\114.jpg,Blue Tarantula
236,train\Blue Tarantula\115.jpg,Blue Tarantula
237,train\Blue Tarantula\116.jpg,Blue Tarantula
238,train\Blue Tarantula\117.jpg,Blue Tarantula
239,train\Blue Tarantula\118.jpg,Blue Tarantula
240,train\Blue Tarantula\119.jpg,Blue Tarantula
241,train\Blue Tarantula\120.jpg,Blue Tarantula
242,train\Blue Tarantula\121.jpg,Blue Tarantula
243,train\Blue Tarantula\122.jpg,Blue Tarantula
244,train\Blue Tarantula\123.jpg,Blue Tarantula
245,train\Blue Tarantula\124.jpg,Blue Tarantula
246,train\Blue Tarantula\125.jpg,Blue Tarantula
247,train\Blue Tarantula\126.jpg,Blue Tarantula
248,train\Blue Tarantula\127.jpg,Blue Tarantula
249,train\Blue Tarantula\128.jpg,Blue Tarantula
250,train\Blue Tarantula\129.jpg,Blue Tarantula
251,train\Blue Tarantula\130.jpg,Blue Tarantula
252,train\Blue Tarantula\131.jpg,Blue Tarantula
253,train\Blue Tarantula\132.jpg,Blue Tarantula
254,train\Blue Tarantula\133.jpg,Blue Tarantula
255,train\Blue Tarantula\134.jpg,Blue Tarantula
256,train\Blue Tarantula\135.jpg,Blue Tarantula
257,train\Blue Tarantula\136.jpg,Blue Tarantula
258,train\Blue Tarantula\137.jpg,Blue Tarantula
259,train\Blue Tarantula\138.jpg,Blue Tarantula
260,train\Blue Tarantula\139.jpg,Blue Tarantula
261,train\Blue Tarantula\140.jpg,Blue Tarantula
262,train\Blue Tarantula\141.jpg,Blue Tarantula
263,train\Blue Tarantula\142.jpg,Blue Tarantula
264,train\Blue Tarantula\143.jpg,Blue Tarantula
265,train\Blue Tarantula\144.jpg,Blue Tarantula
266,train\Blue Tarantula\145.jpg,Blue Tarantula
267,train\Blue Tarantula\146.jpg,Blue Tarantula
268,train\Blue Tarantula\147.jpg,Blue Tarantula
269,train\Blue Tarantula\148.jpg,Blue Tarantula
270,train\Blue Tarantula\149.jpg,Blue Tarantula
271,train\Blue Tarantula\150.jpg,Blue Tarantula
272,train\Blue Tarantula\151.jpg,Blue Tarantula
273,train\Blue Tarantula\152.jpg,Blue Tarantula
274,train\Blue Tarantula\153.jpg,Blue Tarantula
275,train\Blue Tarantula\154.jpg,Blue Tarantula
276,train\Blue Tarantula\155.jpg,Blue Tarantula
277,train\Blue Tarantula\156.jpg,Blue Tarantula
278,train\Blue Tarantula\157.jpg,Blue Tarantula
279,train\Blue Tarantula\158.jpg,Blue Tarantula
280,train\Blue Tarantula\159.jpg,Blue Tarantula
281,train\Blue Tarantula\160.jpg,Blue Tarantula
282,train\Bold Jumper\001.jpg,Bold Jumper
283,train\Bold Jumper\002.jpg,Bold Jumper
284,train\Bold Jumper\003.jpg,Bold Jumper
285,train\Bold Jumper\004.jpg,Bold Jumper
286,train\Bold Jumper\005.jpg,Bold Jumper
287,train\Bold Jumper\006.jpg,Bold Jumper
288,train\Bold Jumper\007.jpg,Bold Jumper
289,train\Bold Jumper\008.jpg,Bold Jumper
290,train\Bold Jumper\009.jpg,Bold Jumper
291,train\Bold Jumper\010.jpg,Bold Jumper
292,train\Bold Jumper\011.jpg,Bold Jumper
293,train\Bold Jumper\012.jpg,Bold Jumper
294,train\Bold Jumper\013.jpg,Bold Jumper
295,train\Bold Jumper\014.jpg,Bold Jumper
296,train\Bold Jumper\015.jpg,Bold Jumper
297,train\Bold Jumper\016.jpg,Bold Jumper
298,train\Bold Jumper\017.jpg,Bold Jumper
299,train\Bold Jumper\018.jpg,Bold Jumper
300,train\Bold Jumper\019.jpg,Bold Jumper
301,train\Bold Jumper\020.jpg,Bold Jumper
302,train\Bold Jumper\021.jpg,Bold Jumper
303,train\Bold Jumper\022.jpg,Bold Jumper
304,train\Bold Jumper\023.jpg,Bold Jumper
305,train\Bold Jumper\024.jpg,Bold Jumper
306,train\Bold Jumper\025.jpg,Bold Jumper
307,train\Bold Jumper\026.jpg,Bold Jumper
308,train\Bold Jumper\027.jpg,Bold Jumper
309,train\Bold Jumper\028.jpg,Bold Jumper
310,train\Bold Jumper\029.jpg,Bold Jumper
311,train\Bold Jumper\030.jpg,Bold Jumper
312,train\Bold Jumper\031.jpg,Bold Jumper
313,train\Bold Jumper\032.jpg,Bold Jumper
314,train\Bold Jumper\033.jpg,Bold Jumper
315,train\Bold Jumper\034.jpg,Bold Jumper
316,train\Bold Jumper\035.jpg,Bold Jumper
317,train\Bold Jumper\036.jpg,Bold Jumper
318,train\Bold Jumper\037.jpg,Bold Jumper
319,train\Bold Jumper\038.jpg,Bold Jumper
320,train\Bold Jumper\039.jpg,Bold Jumper
321,train\Bold Jumper\040.jpg,Bold Jumper
322,train\Bold Jumper\041.jpg,Bold Jumper
323,train\Bold Jumper\042.jpg,Bold Jumper
324,train\Bold Jumper\043.jpg,Bold Jumper
325,train\Bold Jumper\044.jpg,Bold Jumper
326,train\Bold Jumper\045.jpg,Bold Jumper
327,train\Bold Jumper\046.jpg,Bold Jumper
328,train\Bold Jumper\047.jpg,Bold Jumper
329,train\Bold Jumper\048.jpg,Bold Jumper
330,train\Bold Jumper\049.jpg,Bold Jumper
331,train\Bold Jumper\050.jpg,Bold Jumper
332,train\Bold Jumper\051.jpg,Bold Jumper
333,train\Bold Jumper\052.jpg,Bold Jumper
334,train\Bold Jumper\053.jpg,Bold Jumper
335,train\Bold Jumper\054.jpg,Bold Jumper
336,train\Bold Jumper\055.jpg,Bold Jumper
337,train\Bold Jumper\056.jpg,Bold Jumper
338,train\Bold Jumper\057.jpg,Bold Jumper
339,train\Bold Jumper\058.jpg,Bold Jumper
340,train\Bold Jumper\059.jpg,Bold Jumper
341,train\Bold Jumper\060.jpg,Bold Jumper
342,train\Bold Jumper\061.jpg,Bold Jumper
343,train\Bold Jumper\062.jpg,Bold Jumper
344,train\Bold Jumper\063.jpg,Bold Jumper
345,train\Bold Jumper\064.jpg,Bold Jumper
346,train\Bold Jumper\065.jpg,Bold Jumper
347,train\Bold Jumper\066.jpg,Bold Jumper
348,train\Bold Jumper\067.jpg,Bold Jumper
349,train\Bold Jumper\068.jpg,Bold Jumper
350,train\Bold Jumper\069.jpg,Bold Jumper
351,train\Bold Jumper\070.jpg,Bold Jumper
352,train\Bold Jumper\071.jpg,Bold Jumper
353,train\Bold Jumper\072.jpg,Bold Jumper
354,train\Bold Jumper\073.jpg,Bold Jumper
355,train\Bold Jumper\074.jpg,Bold Jumper
356,train\Bold Jumper\075.jpg,Bold Jumper
357,train\Bold Jumper\076.jpg,Bold Jumper
358,train\Bold Jumper\077.jpg,Bold Jumper
359,train\Bold Jumper\078.jpg,Bold Jumper
360,train\Bold Jumper\079.jpg,Bold Jumper
361,train\Bold Jumper\080.jpg,Bold Jumper
362,train\Bold Jumper\081.jpg,Bold Jumper
363,train\Bold Jumper\082.jpg,Bold Jumper
364,train\Bold Jumper\083.jpg,Bold Jumper
365,train\Bold Jumper\084.jpg,Bold Jumper
366,train\Bold Jumper\085.jpg,Bold Jumper
367,train\Bold Jumper\086.jpg,Bold Jumper
368,train\Bold Jumper\087.jpg,Bold Jumper
369,train\Bold Jumper\088.jpg,Bold Jumper
370,train\Bold Jumper\089.jpg,Bold Jumper
371,train\Bold Jumper\090.jpg,Bold Jumper
372,train\Bold Jumper\091.jpg,Bold Jumper
373,train\Bold Jumper\092.jpg,Bold Jumper
374,train\Bold Jumper\093.jpg,Bold Jumper
375,train\Bold Jumper\094.jpg,Bold Jumper
376,train\Bold Jumper\095.jpg,Bold Jumper
377,train\Bold Jumper\096.jpg,Bold Jumper
378,train\Bold Jumper\097.jpg,Bold Jumper
379,train\Bold Jumper\098.jpg,Bold Jumper
380,train\Bold Jumper\099.jpg,Bold Jumper
381,train\Bold Jumper\100.jpg,Bold Jumper
382,train\Bold Jumper\101.jpg,Bold Jumper
383,train\Bold Jumper\102.jpg,Bold Jumper
384,train\Bold Jumper\103.jpg,Bold Jumper
385,train\Bold Jumper\104.jpg,Bold Jumper
386,train\Bold Jumper\105.jpg,Bold Jumper
387,train\Bold Jumper\106.jpg,Bold Jumper
388,train\Bold Jumper\107.jpg,Bold Jumper
389,train\Bold Jumper\108.jpg,Bold Jumper
390,train\Bold Jumper\109.jpg,Bold Jumper
391,train\Bold Jumper\110.jpg,Bold Jumper
392,train\Bold Jumper\111.jpg,Bold Jumper
393,train\Bold Jumper\112.jpg,Bold Jumper
394,train\Bold Jumper\113.jpg,Bold Jumper
395,train\Bold Jumper\114.jpg,Bold Jumper
396,train\Bold Jumper\115.jpg,Bold Jumper
397,train\Bold Jumper\116.jpg,Bold Jumper
398,train\Bold Jumper\117.jpg,Bold Jumper
399,train\Bold Jumper\118.jpg,Bold Jumper
400,train\Bold Jumper\119.jpg,Bold Jumper
401,train\Bold Jumper\120.jpg,Bold Jumper
402,train\Bold Jumper\121.jpg,Bold Jumper
403,train\Bold Jumper\122.jpg,Bold Jumper
404,train\Bold Jumper\123.jpg,Bold Jumper
405,train\Bold Jumper\124.jpg,Bold Jumper
406,train\Bold Jumper\125.jpg,Bold Jumper
407,train\Bold Jumper\126.jpg,Bold Jumper
408,train\Bold Jumper\127.jpg,Bold Jumper
409,train\Bold Jumper\128.jpg,Bold Jumper
410,train\Bold Jumper\129.jpg,Bold Jumper
411,train\Bold Jumper\130.jpg,Bold Jumper
412,train\Bold Jumper\131.jpg,Bold Jumper
413,train\Bold Jumper\132.jpg,Bold Jumper
414,train\Bold Jumper\133.jpg,Bold Jumper
415,train\Bold Jumper\134.jpg,Bold Jumper
416,train\Bold Jumper\135.jpg,Bold Jumper
417,train\Bold Jumper\136.jpg,Bold Jumper
418,train\Bold Jumper\137.jpg,Bold Jumper
419,train\Bold Jumper\138.jpg,Bold Jumper
420,train\Bold Jumper\139.jpg,Bold Jumper
421,train\Bold Jumper\140.jpg,Bold Jumper
422,train\Bold Jumper\141.jpg,Bold Jumper
423,train\Bold Jumper\142.jpg,Bold Jumper
424,train\Bold Jumper\143.jpg,Bold Jumper
425,train\Bold Jumper\144.jpg,Bold Jumper
426,train\Bold Jumper\145.jpg,Bold Jumper
427,train\Bold Jumper\146.jpg,Bold Jumper
428,train\Bold Jumper\147.jpg,Bold Jumper
429,train\Bold Jumper\148.jpg,Bold Jumper
430,train\Bold Jumper\149.jpg,Bold Jumper
431,train\Bold Jumper\150.jpg,Bold Jumper
432,train\Bold Jumper\151.jpg,Bold Jumper
433,train\Bold Jumper\152.jpg,Bold Jumper
434,train\Bold Jumper\153.jpg,Bold Jumper
435,train\Bold Jumper\154.jpg,Bold Jumper
436,train\Bold Jumper\155.jpg,Bold Jumper
437,train\Bold Jumper\156.jpg,Bold Jumper
438,train\Bold Jumper\157.jpg,Bold Jumper
439,train\Bold Jumper\158.jpg,Bold Jumper
440,train\Bold Jumper\159.jpg,Bold Jumper
441,train\Bold Jumper\160.jpg,Bold Jumper
442,train\Bold Jumper\161.jpg,Bold Jumper
443,train\Bold Jumper\162.jpg,Bold Jumper
444,train\Bold Jumper\163.jpg,Bold Jumper
445,train\Bold Jumper\164.jpg,Bold Jumper
446,train\Bold Jumper\165.jpg,Bold Jumper
447,train\Bold Jumper\166.jpg,Bold Jumper
448,train\Bold Jumper\167.jpg,Bold Jumper
449,train\Bold Jumper\168.jpg,Bold Jumper
450,train\Bold Jumper\169.jpg,Bold Jumper
451,train\Bold Jumper\170.jpg,Bold Jumper
452,train\Bold Jumper\171.jpg,Bold Jumper
453,train\Bold Jumper\172.jpg,Bold Jumper
454,train\Bold Jumper\173.jpg,Bold Jumper
455,train\Bold Jumper\174.jpg,Bold Jumper
456,train\Bold Jumper\175.jpg,Bold Jumper
457,train\Bold Jumper\176.jpg,Bold Jumper
458,train\Bold Jumper\177.jpg,Bold Jumper
459,train\Bold Jumper\178.jpg,Bold Jumper
460,train\Bold Jumper\179.jpg,Bold Jumper
461,train\Bold Jumper\180.jpg,Bold Jumper
462,train\Bold Jumper\181.jpg,Bold Jumper
463,train\Bold Jumper\182.jpg,Bold Jumper
464,train\Bold Jumper\183.jpg,Bold Jumper
465,train\Bold Jumper\184.jpg,Bold Jumper
466,train\Bold Jumper\185.jpg,Bold Jumper
467,train\Bold Jumper\186.jpg,Bold Jumper
468,train\Bold Jumper\187.jpg,Bold Jumper
469,train\Bold Jumper\188.jpg,Bold Jumper
470,train\Bold Jumper\189.jpg,Bold Jumper
471,train\Brown Grass Spider\001.jpg,Brown Grass Spider
472,train\Brown Grass Spider\002.jpg,Brown Grass Spider
473,train\Brown Grass Spider\003.jpg,Brown Grass Spider
474,train\Brown Grass Spider\004.jpg,Brown Grass Spider
475,train\Brown Grass Spider\005.jpg,Brown Grass Spider
476,train\Brown Grass Spider\006.jpg,Brown Grass Spider
477,train\Brown Grass Spider\007.jpg,Brown Grass Spider
478,train\Brown Grass Spider\008.jpg,Brown Grass Spider
479,train\Brown Grass Spider\009.jpg,Brown Grass Spider
480,train\Brown Grass Spider\010.jpg,Brown Grass Spider
481,train\Brown Grass Spider\011.jpg,Brown Grass Spider
482,train\Brown Grass Spider\012.jpg,Brown Grass Spider
483,train\Brown Grass Spider\013.jpg,Brown Grass Spider
484,train\Brown Grass Spider\014.jpg,Brown Grass Spider
485,train\Brown Grass Spider\015.jpg,Brown Grass Spider
486,train\Brown Grass Spider\016.jpg,Brown Grass Spider
487,train\Brown Grass Spider\017.jpg,Brown Grass Spider
488,train\Brown Grass Spider\018.jpg,Brown Grass Spider
489,train\Brown Grass Spider\019.jpg,Brown Grass Spider
490,train\Brown Grass Spider\020.jpg,Brown Grass Spider
491,train\Brown Grass Spider\021.jpg,Brown Grass Spider
492,train\Brown Grass Spider\022.jpg,Brown Grass Spider
493,train\Brown Grass Spider\023.jpg,Brown Grass Spider
494,train\Brown Grass Spider\024.jpg,Brown Grass Spider
495,train\Brown Grass Spider\025.jpg,Brown Grass Spider
496,train\Brown Grass Spider\026.jpg,Brown Grass Spider
497,train\Brown Grass Spider\027.jpg,Brown Grass Spider
498,train\Brown Grass Spider\028.jpg,Brown Grass Spider
499,train\Brown Grass Spider\029.jpg,Brown Grass Spider
500,train\Brown Grass Spider\030.jpg,Brown Grass Spider
501,train\Brown Grass Spider\031.jpg,Brown Grass Spider
502,train\Brown Grass Spider\032.jpg,Brown Grass Spider
503,train\Brown Grass Spider\033.jpg,Brown Grass Spider
504,train\Brown Grass Spider\034.jpg,Brown Grass Spider
505,train\Brown Grass Spider\035.jpg,Brown Grass Spider
506,train\Brown Grass Spider\036.jpg,Brown Grass Spider
507,train\Brown Grass Spider\037.jpg,Brown Grass Spider
508,train\Brown Grass Spider\038.jpg,Brown Grass Spider
509,train\Brown Grass Spider\039.jpg,Brown Grass Spider
510,train\Brown Grass Spider\040.jpg,Brown Grass Spider
511,train\Brown Grass Spider\041.jpg,Brown Grass Spider
512,train\Brown Grass Spider\042.jpg,Brown Grass Spider
513,train\Brown Grass Spider\043.jpg,Brown Grass Spider
514,train\Brown Grass Spider\044.jpg,Brown Grass Spider
515,train\Brown Grass Spider\045.jpg,Brown Grass Spider
516,train\Brown Grass Spider\046.jpg,Brown Grass Spider
517,train\Brown Grass Spider\047.jpg,Brown Grass Spider
518,train\Brown Grass Spider\048.jpg,Brown Grass Spider
519,train\Brown Grass Spider\049.jpg,Brown Grass Spider
520,train\Brown Grass Spider\050.jpg,Brown Grass Spider
521,train\Brown Grass Spider\051.jpg,Brown Grass Spider
522,train\Brown Grass Spider\052.jpg,Brown Grass Spider
523,train\Brown Grass Spider\053.jpg,Brown Grass Spider
524,train\Brown Grass Spider\054.jpg,Brown Grass Spider
525,train\Brown Grass Spider\055.jpg,Brown Grass Spider
526,train\Brown Grass Spider\056.jpg,Brown Grass Spider
527,train\Brown Grass Spider\057.jpg,Brown Grass Spider
528,train\Brown Grass Spider\058.jpg,Brown Grass Spider
529,train\Brown Grass Spider\059.jpg,Brown Grass Spider
530,train\Brown Grass Spider\060.jpg,Brown Grass Spider
531,train\Brown Grass Spider\061.jpg,Brown Grass Spider
532,train\Brown Grass Spider\062.jpg,Brown Grass Spider
533,train\Brown Grass Spider\063.jpg,Brown Grass Spider
